,Team,Season Year,Player 01,Player 02,Player 03,Player 04,Player 05,Player 06,Player 07,Player 08,Player 09,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15
124,DEN,2024,Jamal Murray,Nikola Jokić,Kentavious Caldwell-Pope,Michael Porter Jr.,Aaron Gordon,Christian Braun,Reggie Jackson,Zeke Nnaji,Julian Strawther,Peyton Watson,Justin Holiday,Jalen Pickett,Braxton Key,Hunter Tyson,
125,MIN,2024,Rudy Gobert,Anthony Edwards,Karl-Anthony Towns,Mike Conley,Jaden McDaniels,Kyle Anderson,Nickeil Alexander-Walker,Naz Reid,Shake Milton,Troy Brown Jr.,Jordan McLaughlin,Josh Minott,,,
126,CLE,2024,Donovan Mitchell,Evan Mobley,Max Strus,Isaac Okoro,Georges Niang,Caris LeVert,Dean Wade,Tristan Thompson,Craig Porter Jr.,,,,,,
127,NYK,2024,Jalen Brunson,Julius Randle,Mitchell Robinson,Josh Hart,Quentin Grimes,Donte DiVincenzo,Immanuel Quickley,Isaiah Hartenstein,Miles McBride,,,,,,
128,NOP,2024,Jordan Hawkins,CJ McCollum,Zion Williamson,Herbert Jones,Jonas Valančiūnas,Dyson Daniels,Larry Nance Jr.,Matt Ryan,Kira Lewis Jr.,Cody Zeller,,,,,
129,OKC,2024,Shai Gilgeous-Alexander,Jalen Williams,Chet Holmgren,Josh Giddey,Luguentz Dort,Cason Wallace,Isaiah Joe,Aaron Wiggins,Ousmane Dieng,Olivier Sarr,,,,,
130,MIL,2024,Damian Lillard,Giannis Antetokounmpo,Malik Beasley,Khris Middleton,Brook Lopez,Jae Crowder,Pat Connaughton,Cameron Payne,Bobby Portis,MarJon Beauchamp,Andre Jackson Jr.,Chris Livingston,A.J. Green,Thanasis Antetokounmpo,
131,TOR,2024,Pascal Siakam,Jakob Poeltl,Dennis Schröder,Scottie Barnes,OG Anunoby,Gary Trent Jr.,Gradey Dick,Malachi Flynn,Otto Porter Jr.,Chris Boucher,Garrett Temple,,,,
132,MEM,2024,Marcus Smart,Desmond Bane,Jaren Jackson Jr.,Ziaire Williams,Xavier Tillman Sr.,David Roddy,Luke Kennard,Jacob Gilyard,Kenneth Lofton Jr.,John Konchar,Vince Williams Jr.,Jake LaRavia,,,
133,UTA,2024,Lauri Markkanen,John Collins,Jordan Clarkson,Talen Horton-Tucker,Walker Kessler,Kelly Olynyk,Keyonte George,Collin Sexton,Ochai Agbaji,Kris Dunn,Simone Fontecchio,Omer Yurtseven,,,
134,DET,2024,Killian Hayes,Isaiah Stewart,Cade Cunningham,Jalen Duren,Ausar Thompson,Joe Harris,Marcus Sasser,Jaden Ivey,Marvin Bagley III,,,,,,
135,NOP,2024,CJ McCollum,Matt Ryan,Herbert Jones,Jonas Valančiūnas,Jordan Hawkins,Dyson Daniels,Kira Lewis Jr.,Larry Nance Jr.,Dereon Seabron,,,,,,
136,TOR,2024,Scottie Barnes,Pascal Siakam,OG Anunoby,Dennis Schröder,Jakob Poeltl,Gary Trent Jr.,Malachi Flynn,Gradey Dick,Chris Boucher,Jalen McDaniels,Garrett Temple,Thaddeus Young,,,
137,PHI,2024,Tobias Harris,Tyrese Maxey,Joel Embiid,Kelly Oubre Jr.,De'Anthony Melton,Patrick Beverley,Furkan Korkmaz,Paul Reed,Jaden Springer,Mo Bamba,Robert Covington,KJ Martin,,,
138,SAS,2024,Keldon Johnson,Zach Collins,Victor Wembanyama,Jeremy Sochan,Devin Vassell,Tre Jones,Cedi Osman,Malaki Branham,Doug McDermott,Charles Bassey,,,,,
139,PHO,2024,Kevin Durant,Devin Booker,Grayson Allen,Jusuf Nurkić,Josh Okogie,Drew Eubanks,Yuta Watanabe,Eric Gordon,Keita Bates-Diop,Jordan Goodwin,,,,,
140,ORL,2024,Franz Wagner,Paolo Banchero,Wendell Carter Jr.,Jalen Suggs,Gary Harris,Cole Anthony,Joe Ingles,Moritz Wagner,Anthony Black,Jonathan Isaac,,,,,
141,UTA,2024,Jordan Clarkson,John Collins,Lauri Markkanen,Talen Horton-Tucker,Walker Kessler,Kelly Olynyk,Collin Sexton,Keyonte George,Omer Yurtseven,Ochai Agbaji,Simone Fontecchio,Kris Dunn,,,
142,BRK,2024,Mikal Bridges,Dorian Finney-Smith,Ben Simmons,Spencer Dinwiddie,Cam Thomas,Royce O'Neale,Dennis Smith Jr.,Lonnie Walker IV,Day'Ron Sharpe,,,,,,
143,CHI,2024,Zach LaVine,Nikola Vučević,Coby White,DeMar DeRozan,Torrey Craig,Alex Caruso,Patrick Williams,Jevon Carter,Andre Drummond,,,,,,
144,DAL,2024,Luka Dončić,Kyrie Irving,Grant Williams,Dereck Lively II,Derrick Jones Jr.,Josh Green,Tim Hardaway Jr.,Dwight Powell,Jaden Hardy,Seth Curry,Dante Exum,Olivier-Maxence Prosper,,,
145,DEN,2024,Jamal Murray,Kentavious Caldwell-Pope,Nikola Jokić,Aaron Gordon,Michael Porter Jr.,Reggie Jackson,Christian Braun,Peyton Watson,Zeke Nnaji,,,,,,
146,CLE,2024,Donovan Mitchell,Evan Mobley,Darius Garland,Max Strus,Jarrett Allen,Caris LeVert,Georges Niang,Isaac Okoro,Tristan Thompson,Dean Wade,,,,,
147,IND,2024,Bruce Brown,Tyrese Haliburton,Myles Turner,Bennedict Mathurin,Obi Toppin,Buddy Hield,Aaron Nesmith,Andrew Nembhard,Jalen Smith,,,,,,
148,WAS,2024,Kyle Kuzma,Jordan Poole,Tyus Jones,Deni Avdija,Daniel Gafford,Bilal Coulibaly,Delon Wright,Landry Shamet,Johnny Davis,Mike Muscala,Danilo Gallinari,Ryan Rollins,Anthony Gill,Eugene Omoruyi,
149,MIA,2024,Tyler Herro,Jimmy Butler,Bam Adebayo,Kyle Lowry,Haywood Highsmith,Duncan Robinson,Josh Richardson,Jaime Jaquez Jr.,Thomas Bryant,,,,,,
150,NYK,2024,Jalen Brunson,Julius Randle,Josh Hart,Quentin Grimes,Mitchell Robinson,Immanuel Quickley,Isaiah Hartenstein,Donte DiVincenzo,Miles McBride,,,,,,
151,MIL,2024,Damian Lillard,Giannis Antetokounmpo,Brook Lopez,Malik Beasley,Khris Middleton,Pat Connaughton,Jae Crowder,Bobby Portis,MarJon Beauchamp,Cameron Payne,,,,,
152,GSW,2024,Klay Thompson,Stephen Curry,Draymond Green,Andrew Wiggins,Kevon Looney,Chris Paul,Gary Payton II,Jonathan Kuminga,Dario Šarić,Moses Moody,,,,,
153,OKC,2024,Cason Wallace,Jalen Williams,Chet Holmgren,Josh Giddey,Luguentz Dort,Isaiah Joe,Aaron Wiggins,Jaylin Williams,Vasilije Micić,Ousmane Dieng,,,,,
154,MEM,2024,Desmond Bane,Marcus Smart,Jaren Jackson Jr.,David Roddy,Ziaire Williams,Luke Kennard,Xavier Tillman Sr.,Jacob Gilyard,John Konchar,Vince Williams Jr.,,,,,
155,POR,2024,Shaedon Sharpe,Malcolm Brogdon,Jerami Grant,Deandre Ayton,Matisse Thybulle,Toumani Camara,Robert Williams,Skylar Mays,Jabari Walker,,,,,,
156,BOS,2024,Jayson Tatum,Jrue Holiday,Jaylen Brown,Al Horford,Kristaps Porziņģis,Payton Pritchard,Sam Hauser,Luke Kornet,Oshae Brissett,,,,,,
157,BRK,2024,Mikal Bridges,Cam Thomas,Royce O'Neale,Dorian Finney-Smith,Spencer Dinwiddie,Lonnie Walker IV,Day'Ron Sharpe,Dennis Smith Jr.,Trendon Watford,Armoni Brooks,Jalen Wilson,,,,
158,CHI,2024,DeMar DeRozan,Zach LaVine,Coby White,Nikola Vučević,Torrey Craig,Patrick Williams,Jevon Carter,Andre Drummond,Alex Caruso,Terry Taylor,Dalen Terry,Onuralp Bitim,Julian Phillips,,
159,DEN,2024,Aaron Gordon,Nikola Jokić,Michael Porter Jr.,Kentavious Caldwell-Pope,Jamal Murray,Reggie Jackson,Peyton Watson,Christian Braun,DeAndre Jordan,Collin Gillespie,Julian Strawther,Zeke Nnaji,Jalen Pickett,Hunter Tyson,
160,SAC,2024,Keegan Murray,Harrison Barnes,Domantas Sabonis,Davion Mitchell,Kevin Huerter,Chris Duarte,Malik Monk,Colby Jones,JaVale McGee,Sasha Vezenkov,Alex Len,Jordan Ford,Kessler Edwards,Keon Ellis,
161,HOU,2024,Dillon Brooks,Fred VanVleet,Jalen Green,Jabari Smith Jr.,Alperen Sengun,Jae'Sean Tate,Aaron Holiday,Jock Landale,Jeff Green,Jermaine Samuels,Nate Hinton,Cam Whitmore,,,
162,CHO,2024,Gordon Hayward,P.J. Washington,Terry Rozier,LaMelo Ball,Mark Williams,Brandon Miller,Nick Richards,JT Thor,Théo Maledon,,,,,,
163,IND,2024,Tyrese Haliburton,Bruce Brown,Myles Turner,Obi Toppin,Bennedict Mathurin,Buddy Hield,Aaron Nesmith,Jalen Smith,Andrew Nembhard,T.J. McConnell,,,,,
164,UTA,2024,Lauri Markkanen,Jordan Clarkson,John Collins,Talen Horton-Tucker,Walker Kessler,Keyonte George,Collin Sexton,Kelly Olynyk,Ochai Agbaji,Simone Fontecchio,Luka Šamanić,Omer Yurtseven,,,
165,MIN,2024,Anthony Edwards,Karl-Anthony Towns,Rudy Gobert,Mike Conley,Jaden McDaniels,Kyle Anderson,Naz Reid,Nickeil Alexander-Walker,Shake Milton,Josh Minott,Troy Brown Jr.,Jordan McLaughlin,Daishen Nix,,
166,ATL,2024,Trae Young,Dejounte Murray,Jalen Johnson,De'Andre Hunter,Clint Capela,Saddiq Bey,Bogdan Bogdanović,Onyeka Okongwu,Garrison Mathews,,,,,,
167,NOP,2024,CJ McCollum,Herbert Jones,Zion Williamson,Brandon Ingram,Jonas Valančiūnas,Jordan Hawkins,Dyson Daniels,Matt Ryan,Larry Nance Jr.,Kira Lewis Jr.,E.J. Liddell,,,,
168,LAL,2024,LeBron James,D'Angelo Russell,Austin Reaves,Anthony Davis,Cam Reddish,Christian Wood,Max Christie,Jaxson Hayes,Colin Castleton,Alex Fudge,D'Moi Hodge,Maxwell Lewis,,,
169,ORL,2024,Paolo Banchero,Franz Wagner,Anthony Black,Jalen Suggs,Goga Bitadze,Joe Ingles,Cole Anthony,Moritz Wagner,Jonathan Isaac,Admiral Schofield,Caleb Houstan,Jett Howard,Chuma Okeke,,
170,PHO,2024,Kevin Durant,Eric Gordon,Grayson Allen,Keita Bates-Diop,Jusuf Nurkić,Josh Okogie,Yuta Watanabe,Drew Eubanks,Jordan Goodwin,Chimezie Metu,Nassir Little,Saben Lee,,,
171,PHI,2024,Tyrese Maxey,Kelly Oubre Jr.,Tobias Harris,Joel Embiid,De'Anthony Melton,Robert Covington,Furkan Korkmaz,Paul Reed,Patrick Beverley,Jaden Springer,Mo Bamba,KJ Martin,,,
172,GSW,2024,Klay Thompson,Stephen Curry,Draymond Green,Andrew Wiggins,Kevon Looney,Chris Paul,Jonathan Kuminga,Moses Moody,Dario Šarić,Gary Payton II,Trayce Jackson-Davis,Brandin Podziemski,Cory Joseph,,
173,CLE,2024,Max Strus,Donovan Mitchell,Darius Garland,Evan Mobley,Jarrett Allen,Caris LeVert,Georges Niang,Dean Wade,Tristan Thompson,Damian Jones,Sam Merrill,,,,
174,CHO,2024,LaMelo Ball,Brandon Miller,P.J. Washington,Gordon Hayward,Mark Williams,Théo Maledon,Nick Richards,JT Thor,Bryce McGowens,Ish Smith,,,,,
175,DAL,2024,Luka Dončić,Kyrie Irving,Dereck Lively II,Grant Williams,Derrick Jones Jr.,Tim Hardaway Jr.,Josh Green,Dwight Powell,Jaden Hardy,Dante Exum,,,,,
176,PHO,2024,Kevin Durant,Eric Gordon,Grayson Allen,Jusuf Nurkić,Keita Bates-Diop,Josh Okogie,Jordan Goodwin,Yuta Watanabe,Drew Eubanks,Saben Lee,Bol Bol,Udoka Azubuike,Chimezie Metu,,
177,DET,2024,Cade Cunningham,Ausar Thompson,Isaiah Stewart,Killian Hayes,Jalen Duren,Marcus Sasser,Joe Harris,Marvin Bagley III,Stanley Umude,Malcolm Cazalon,Jared Rhoden,,,,
178,MEM,2024,Jaren Jackson Jr.,Desmond Bane,Marcus Smart,Ziaire Williams,Bismack Biyombo,Luke Kennard,Santi Aldama,David Roddy,Jacob Gilyard,Kenneth Lofton Jr.,,,,,
179,POR,2024,Shaedon Sharpe,Malcolm Brogdon,Jerami Grant,Deandre Ayton,Matisse Thybulle,Toumani Camara,Skylar Mays,Jabari Walker,Robert Williams,,,,,,
180,TOR,2024,Scottie Barnes,Dennis Schröder,OG Anunoby,Pascal Siakam,Jakob Poeltl,Gary Trent Jr.,Otto Porter Jr.,Malachi Flynn,Gradey Dick,Jalen McDaniels,,,,,
181,SAS,2024,Zach Collins,Victor Wembanyama,Keldon Johnson,Jeremy Sochan,Malaki Branham,Tre Jones,Cedi Osman,Doug McDermott,Charles Bassey,Julian Champagnie,,,,,
182,MIL,2024,Giannis Antetokounmpo,Damian Lillard,Brook Lopez,Khris Middleton,Malik Beasley,Jae Crowder,Bobby Portis,Pat Connaughton,Cameron Payne,MarJon Beauchamp,,,,,
183,BRK,2024,Cam Thomas,Mikal Bridges,Dorian Finney-Smith,Ben Simmons,Spencer Dinwiddie,Royce O'Neale,Lonnie Walker IV,Dennis Smith Jr.,Day'Ron Sharpe,,,,,,
184,UTA,2024,Lauri Markkanen,Walker Kessler,Jordan Clarkson,John Collins,Talen Horton-Tucker,Kelly Olynyk,Keyonte George,Collin Sexton,Ochai Agbaji,Kris Dunn,Luka Šamanić,Omer Yurtseven,Simone Fontecchio,,
185,CHI,2024,Zach LaVine,Nikola Vučević,DeMar DeRozan,Coby White,Torrey Craig,Patrick Williams,Alex Caruso,Jevon Carter,Ayo Dosunmu,Andre Drummond,Dalen Terry,Julian Phillips,Terry Taylor,,
186,NOP,2024,Jordan Hawkins,Zion Williamson,Brandon Ingram,Herbert Jones,Jonas Valančiūnas,Matt Ryan,Dyson Daniels,Larry Nance Jr.,Kira Lewis Jr.,Cody Zeller,,,,,
187,DEN,2024,Nikola Jokić,Aaron Gordon,Kentavious Caldwell-Pope,Michael Porter Jr.,Reggie Jackson,Julian Strawther,Peyton Watson,Christian Braun,Collin Gillespie,Zeke Nnaji,,,,,
188,GSW,2024,Stephen Curry,Klay Thompson,Draymond Green,Kevon Looney,Andrew Wiggins,Gary Payton II,Chris Paul,Dario Šarić,Moses Moody,Jonathan Kuminga,,,,,
189,DET,2024,Cade Cunningham,Isaiah Stewart,Ausar Thompson,Killian Hayes,Marvin Bagley III,Marcus Sasser,Stanley Umude,James Wiseman,Jared Rhoden,,,,,,
190,SAC,2024,Domantas Sabonis,Keegan Murray,Davion Mitchell,Kevin Huerter,Harrison Barnes,Chris Duarte,Malik Monk,Keon Ellis,Colby Jones,Kessler Edwards,Sasha Vezenkov,JaVale McGee,Jordan Ford,Alex Len,
191,HOU,2024,Dillon Brooks,Fred VanVleet,Alperen Sengun,Jalen Green,Jabari Smith Jr.,Aaron Holiday,Jae'Sean Tate,Jock Landale,Cam Whitmore,Jermaine Samuels,Reggie Bullock,Nate Hinton,Boban Marjanović,Jeff Green,
192,SAS,2024,Malaki Branham,Keldon Johnson,Victor Wembanyama,Jeremy Sochan,Zach Collins,Doug McDermott,Tre Jones,Cedi Osman,Charles Bassey,Julian Champagnie,Devonte' Graham,Sandro Mamukelashvili,Dominick Barlow,Blake Wesley,
193,IND,2024,Obi Toppin,Tyrese Haliburton,Bruce Brown,Bennedict Mathurin,Myles Turner,Buddy Hield,Aaron Nesmith,Andrew Nembhard,Isaiah Jackson,Ben Sheppard,Jalen Smith,Jordan Nwora,T.J. McConnell,Jarace Walker,
194,LAL,2024,Austin Reaves,LeBron James,Taurean Prince,D'Angelo Russell,Anthony Davis,Christian Wood,Cam Reddish,Max Christie,,,,,,,
195,MIA,2024,Bam Adebayo,Jimmy Butler,Tyler Herro,Kyle Lowry,Haywood Highsmith,Duncan Robinson,Josh Richardson,Jaime Jaquez Jr.,Thomas Bryant,,,,,,
196,BOS,2024,Jayson Tatum,Jrue Holiday,Jaylen Brown,Al Horford,Kristaps Porziņģis,Sam Hauser,Payton Pritchard,Luke Kornet,Lamar Stevens,Svi Mykhailiuk,,,,,
197,MIN,2024,Jaden McDaniels,Rudy Gobert,Anthony Edwards,Mike Conley,Karl-Anthony Towns,Kyle Anderson,Naz Reid,Nickeil Alexander-Walker,Jordan McLaughlin,Shake Milton,,,,,
198,LAC,2024,Paul George,Kawhi Leonard,James Harden,Russell Westbrook,Ivica Zubac,Norman Powell,Bones Hyland,P.J. Tucker,Mason Plumlee,Moussa Diabaté,Kobe Brown,Amir Coffey,,,
199,NYK,2024,Julius Randle,Jalen Brunson,Mitchell Robinson,RJ Barrett,Quentin Grimes,Josh Hart,Immanuel Quickley,Donte DiVincenzo,Isaiah Hartenstein,,,,,,
200,ATL,2024,Trae Young,Jalen Johnson,Dejounte Murray,De'Andre Hunter,Clint Capela,Bogdan Bogdanović,Saddiq Bey,Onyeka Okongwu,Garrison Mathews,,,,,,
201,OKC,2024,Shai Gilgeous-Alexander,Jalen Williams,Chet Holmgren,Luguentz Dort,Josh Giddey,Cason Wallace,Isaiah Joe,Jaylin Williams,Ousmane Dieng,Aaron Wiggins,,,,,
202,DAL,2024,Kyrie Irving,Luka Dončić,Grant Williams,Derrick Jones Jr.,Dereck Lively II,Tim Hardaway Jr.,Dwight Powell,Josh Green,Jaden Hardy,,,,,,
203,ORL,2024,Paolo Banchero,Franz Wagner,Anthony Black,Jalen Suggs,Goga Bitadze,Cole Anthony,Moritz Wagner,Joe Ingles,Caleb Houstan,,,,,,
204,WAS,2024,Tyus Jones,Jordan Poole,Kyle Kuzma,Daniel Gafford,Deni Avdija,Bilal Coulibaly,Corey Kispert,Johnny Davis,Eugene Omoruyi,Ryan Rollins,Anthony Gill,Delon Wright,Danilo Gallinari,Mike Muscala,
205,PHI,2024,Tyrese Maxey,Tobias Harris,Joel Embiid,Kelly Oubre Jr.,De'Anthony Melton,Nicolas Batum,Furkan Korkmaz,Paul Reed,Jaden Springer,Patrick Beverley,Danuel House Jr.,Marcus Morris,Robert Covington,Mo Bamba,KJ Martin
206,LAC,2024,Paul George,James Harden,Kawhi Leonard,Russell Westbrook,Ivica Zubac,Norman Powell,P.J. Tucker,Terance Mann,Bones Hyland,,,,,,
207,BRK,2024,Dorian Finney-Smith,Mikal Bridges,Royce O'Neale,Spencer Dinwiddie,Cam Thomas,Lonnie Walker IV,Dennis Smith Jr.,Day'Ron Sharpe,Trendon Watford,,,,,,
208,PHO,2024,Kevin Durant,Jusuf Nurkić,Grayson Allen,Keita Bates-Diop,Bradley Beal,Eric Gordon,Josh Okogie,Yuta Watanabe,Jordan Goodwin,Drew Eubanks,,,,,
209,CHI,2024,Nikola Vučević,Zach LaVine,DeMar DeRozan,Coby White,Torrey Craig,Alex Caruso,Patrick Williams,Jevon Carter,Andre Drummond,Ayo Dosunmu,,,,,
210,WAS,2024,Kyle Kuzma,Deni Avdija,Jordan Poole,Tyus Jones,Daniel Gafford,Bilal Coulibaly,Delon Wright,Corey Kispert,Danilo Gallinari,Landry Shamet,Anthony Gill,Ryan Rollins,Johnny Davis,Eugene Omoruyi,
211,CHO,2024,LaMelo Ball,P.J. Washington,Gordon Hayward,Brandon Miller,Mark Williams,JT Thor,Théo Maledon,Nick Richards,Bryce McGowens,Ish Smith,Nick Smith Jr.,Leaky Black,,,
212,TOR,2024,Scottie Barnes,Pascal Siakam,OG Anunoby,Dennis Schröder,Jakob Poeltl,Gary Trent Jr.,Otto Porter Jr.,Chris Boucher,Malachi Flynn,Gradey Dick,,,,,
213,DAL,2024,Luka Dončić,Kyrie Irving,Derrick Jones Jr.,Grant Williams,Dwight Powell,Tim Hardaway Jr.,Josh Green,Maxi Kleber,Jaden Hardy,Dante Exum,Richaun Holmes,,,,
214,GSW,2024,Stephen Curry,Klay Thompson,Kevon Looney,Andrew Wiggins,Dario Šarić,Chris Paul,Jonathan Kuminga,Trayce Jackson-Davis,Moses Moody,Brandin Podziemski,,,,,
215,DEN,2024,Michael Porter Jr.,Nikola Jokić,Kentavious Caldwell-Pope,Aaron Gordon,Reggie Jackson,Christian Braun,Collin Gillespie,Peyton Watson,Julian Strawther,Justin Holiday,Zeke Nnaji,,,,
216,LAL,2024,D'Angelo Russell,LeBron James,Taurean Prince,Austin Reaves,Christian Wood,Max Christie,Rui Hachimura,Cam Reddish,Colin Castleton,D'Moi Hodge,Maxwell Lewis,,,,
217,HOU,2024,Fred VanVleet,Jabari Smith Jr.,Alperen Sengun,Dillon Brooks,Jalen Green,Jae'Sean Tate,Aaron Holiday,Tari Eason,Reggie Bullock,Jock Landale,Jeff Green,Jeenathan Williams,Boban Marjanović,,
218,UTA,2024,Lauri Markkanen,Jordan Clarkson,Keyonte George,John Collins,Ochai Agbaji,Kelly Olynyk,Talen Horton-Tucker,Simone Fontecchio,Collin Sexton,Kris Dunn,,,,,
219,IND,2024,Bennedict Mathurin,Bruce Brown,Tyrese Haliburton,Myles Turner,Obi Toppin,Aaron Nesmith,Jalen Smith,Buddy Hield,Andrew Nembhard,,,,,,
220,MIA,2024,Bam Adebayo,Kyle Lowry,Jimmy Butler,Haywood Highsmith,Tyler Herro,Duncan Robinson,Jaime Jaquez Jr.,Josh Richardson,Dru Smith,Thomas Bryant,,,,,
221,MEM,2024,Desmond Bane,Jaren Jackson Jr.,Marcus Smart,Bismack Biyombo,Ziaire Williams,Luke Kennard,Santi Aldama,Jacob Gilyard,David Roddy,Kenneth Lofton Jr.,,,,,
222,DET,2024,Cade Cunningham,Isaiah Stewart,Ausar Thompson,Killian Hayes,Jalen Duren,Marcus Sasser,Marvin Bagley III,Jared Rhoden,Stanley Umude,,,,,,
223,MIL,2024,Jae Crowder,Damian Lillard,Brook Lopez,Malik Beasley,Giannis Antetokounmpo,MarJon Beauchamp,Cameron Payne,Bobby Portis,Pat Connaughton,Andre Jackson Jr.,,,,,
224,NOP,2024,Brandon Ingram,Dyson Daniels,Jordan Hawkins,Jeremiah Robinson-Earl,Jonas Valančiūnas,Matt Ryan,Kira Lewis Jr.,Larry Nance Jr.,Dereon Seabron,Cody Zeller,E.J. Liddell,,,,
225,MIN,2024,Anthony Edwards,Rudy Gobert,Karl-Anthony Towns,Jaden McDaniels,Mike Conley,Kyle Anderson,Naz Reid,Shake Milton,Nickeil Alexander-Walker,Luka Garza,Troy Brown Jr.,Josh Minott,Daishen Nix,,
226,SAS,2024,Keldon Johnson,Victor Wembanyama,Jeremy Sochan,Zach Collins,Malaki Branham,Tre Jones,Doug McDermott,Charles Bassey,Cedi Osman,Devin Vassell,Blake Wesley,Dominick Barlow,Julian Champagnie,Sandro Mamukelashvili,
227,NYK,2024,Jalen Brunson,RJ Barrett,Mitchell Robinson,Julius Randle,Quentin Grimes,Immanuel Quickley,Josh Hart,Donte DiVincenzo,Isaiah Hartenstein,Ryan Arcidiacono,DaQuan Jeffries,Miles McBride,Jericho Sims,Dylan Windler,
228,CLE,2024,Donovan Mitchell,Darius Garland,Evan Mobley,Max Strus,Jarrett Allen,Caris LeVert,Georges Niang,Tristan Thompson,Dean Wade,,,,,,
229,OKC,2024,Shai Gilgeous-Alexander,Luguentz Dort,Jalen Williams,Chet Holmgren,Josh Giddey,Cason Wallace,Isaiah Joe,Jaylin Williams,Dāvis Bertāns,Ousmane Dieng,Aaron Wiggins,,,,
230,BOS,2024,Derrick White,Jayson Tatum,Jaylen Brown,Jrue Holiday,Kristaps Porziņģis,Al Horford,Sam Hauser,Payton Pritchard,Luke Kornet,,,,,,
231,PHI,2024,Tyrese Maxey,Tobias Harris,Joel Embiid,De'Anthony Melton,Kelly Oubre Jr.,Nicolas Batum,Robert Covington,Patrick Beverley,Paul Reed,Furkan Korkmaz,,,,,
232,POR,2024,Jerami Grant,Deandre Ayton,Shaedon Sharpe,Matisse Thybulle,Malcolm Brogdon,Skylar Mays,Toumani Camara,Jabari Walker,Kris Murray,Justin Minaya,Moses Brown,,,,
233,SAC,2024,Domantas Sabonis,Kevin Huerter,Harrison Barnes,Keegan Murray,Keon Ellis,Malik Monk,Davion Mitchell,Kessler Edwards,Alex Len,Chris Duarte,,,,,
234,MIL,2024,Giannis Antetokounmpo,Cameron Payne,Malik Beasley,Brook Lopez,Khris Middleton,Jae Crowder,Pat Connaughton,Bobby Portis,MarJon Beauchamp,Andre Jackson Jr.,,,,,
235,IND,2024,Tyrese Haliburton,Bruce Brown,Myles Turner,Bennedict Mathurin,Obi Toppin,Buddy Hield,Andrew Nembhard,Aaron Nesmith,Isaiah Jackson,Daniel Theis,,,,,
236,ATL,2024,Trae Young,Dejounte Murray,Jalen Johnson,De'Andre Hunter,Clint Capela,Saddiq Bey,Bogdan Bogdanović,Onyeka Okongwu,AJ Griffin,Bruno Fernando,,,,,
237,ORL,2024,Paolo Banchero,Jalen Suggs,Franz Wagner,Markelle Fultz,Goga Bitadze,Cole Anthony,Moritz Wagner,Joe Ingles,Anthony Black,Jonathan Isaac,Chuma Okeke,,,,
238,BRK,2024,Mikal Bridges,Dorian Finney-Smith,Royce O'Neale,Cameron Johnson,Spencer Dinwiddie,Trendon Watford,Dennis Smith Jr.,Lonnie Walker IV,Armoni Brooks,Day'Ron Sharpe,Harry Giles,,,,
239,BOS,2024,Jayson Tatum,Jrue Holiday,Jaylen Brown,Derrick White,Kristaps Porziņģis,Payton Pritchard,Sam Hauser,Luke Kornet,Svi Mykhailiuk,Oshae Brissett,Dalano Banton,,,,
240,LAC,2024,James Harden,Kawhi Leonard,Paul George,Ivica Zubac,Russell Westbrook,Terance Mann,Bones Hyland,Moussa Diabaté,Amir Coffey,Kobe Brown,Norman Powell,P.J. Tucker,,,
241,DAL,2024,Luka Dončić,Derrick Jones Jr.,Kyrie Irving,Dereck Lively II,Grant Williams,Tim Hardaway Jr.,Dwight Powell,Dante Exum,Josh Green,Jaden Hardy,Seth Curry,Olivier-Maxence Prosper,,,
242,PHI,2024,Tyrese Maxey,Tobias Harris,Joel Embiid,De'Anthony Melton,Kelly Oubre Jr.,Nicolas Batum,Robert Covington,Paul Reed,Marcus Morris,Patrick Beverley,Jaden Springer,Furkan Korkmaz,,,
243,DET,2024,Killian Hayes,Cade Cunningham,Ausar Thompson,Isaiah Stewart,Jalen Duren,Marcus Sasser,Stanley Umude,Marvin Bagley III,Jared Rhoden,James Wiseman,,,,,
244,NOP,2024,Jordan Hawkins,Dyson Daniels,Brandon Ingram,Zion Williamson,Jonas Valančiūnas,Matt Ryan,Larry Nance Jr.,Dereon Seabron,Jeremiah Robinson-Earl,Cody Zeller,,,,,
245,HOU,2024,Fred VanVleet,Jalen Green,Alperen Sengun,Jabari Smith Jr.,Dillon Brooks,Jae'Sean Tate,Jeff Green,Tari Eason,Aaron Holiday,Jock Landale,,,,,
246,UTA,2024,John Collins,Lauri Markkanen,Jordan Clarkson,Ochai Agbaji,Keyonte George,Kelly Olynyk,Talen Horton-Tucker,Collin Sexton,Simone Fontecchio,,,,,,
247,MEM,2024,Desmond Bane,Jacob Gilyard,Bismack Biyombo,Marcus Smart,Jaren Jackson Jr.,John Konchar,Luke Kennard,David Roddy,Santi Aldama,Kenneth Lofton Jr.,,,,,
248,LAL,2024,LeBron James,Anthony Davis,Taurean Prince,D'Angelo Russell,Cam Reddish,Austin Reaves,Rui Hachimura,Christian Wood,Jaxson Hayes,,,,,,
249,PHO,2024,Kevin Durant,Jusuf Nurkić,Grayson Allen,Bradley Beal,Keita Bates-Diop,Eric Gordon,Yuta Watanabe,Drew Eubanks,Josh Okogie,Jordan Goodwin,,,,,
250,OKC,2024,Shai Gilgeous-Alexander,Jalen Williams,Chet Holmgren,Josh Giddey,Luguentz Dort,Cason Wallace,Isaiah Joe,Lindy Waters III,Jaylin Williams,Ousmane Dieng,,,,,
